"ean","order_id_falta","cantidad_solicitada_falta","point_of_sale_id","nombre_pos","tipo_producto","fecha_pedido_falta","reintento_reposicion","order_id_recompra","fecha_pedido_recompra","dias_hasta_recompra","horas_hasta_recompra","bucket_timing_recompra","cantidad_recompra","compra_efectiva","veces_falta_antes"
"300090444037",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"300653610800",397565,2,504,Lavalle,MEDICINAL,"2026-01-02 20:30:02",0,,,,,,,,1
"3014260279264",397243,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:49:36",0,,,,,,,,1
"3014260279264",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"3014260846725",397266,3,2840,Don Doctor,MEDICINAL,"2026-01-02 03:34:24",1,397783,"2026-01-03 03:24:16",1,23,"12-24 h",3.000,1,1
"309970166076",397184,1,710,Osvaldini,MEDICINAL,"2026-01-01 22:34:49",0,,,,,,,,1
"309970187217",397503,2,3010,Deposito Anexo,MEDICINAL,"2026-01-02 18:21:46",0,,,,,,,,1
"309970208868",397503,2,3010,Deposito Anexo,MEDICINAL,"2026-01-02 18:21:46",0,,,,,,,,1
"309978456957",397677,1,671,Catriel Zurita,MEDICINAL,"2026-01-02 23:37:22",1,399405,"2026-01-06 23:22:45",4,95,"48 h+",1.000,1,1
"310119052136",397226,1,1114,Farmacia Jana,MEDICINAL,"2026-01-02 01:57:23",1,398169,"2026-01-05 01:20:31",3,71,"48 h+",2.000,1,1
"310158077046",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",1,401352,"2026-01-10 02:10:11",8,191,"48 h+",1.000,0,1
"310158077046",397247,1,2679,F. El Número Uno Lomas de Durazno,MEDICINAL,"2026-01-02 02:58:04",1,397824,"2026-01-03 04:14:14",1,25,"24-48 h",1.000,0,1
"310158077046",397270,5,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",5.000,1,1
"310742037043",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"311917221212",397222,1,1238,Farmacia San Angel Hidalgo,MEDICINAL,"2026-01-02 01:49:55",1,398212,"2026-01-05 03:07:04",3,73,"48 h+",1.000,0,1
"312547321808",397158,1,722,Churubusco,MEDICINAL,"2026-01-01 16:27:26",1,401424,"2026-01-10 04:37:43",9,204,"48 h+",1.000,0,1
"3282770019919",397268,2,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 03:42:55",1,397797,"2026-01-03 03:37:56",1,23,"12-24 h",2.000,0,1
"3282770019919",397283,1,2139,Farmacia 02 Puente,MEDICINAL,"2026-01-02 05:23:09",1,397755,"2026-01-03 02:30:44",1,21,"12-24 h",1.000,0,1
"3282770049510",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"3282770072655",397245,2,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",2.000,0,1
"3282770072655",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"3282770139167",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3282770209440",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3282770390315",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3282770398151",397245,4,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",4.000,0,1
"3282776367410",397268,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 03:42:55",1,397797,"2026-01-03 03:37:56",1,23,"12-24 h",1.000,0,1
"3282776382109",397274,1,1311,Verdux Ciudad Lago,MEDICINAL,"2026-01-02 04:04:39",0,,,,,,,,1
"3282776478307",397268,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 03:42:55",1,397797,"2026-01-03 03:37:56",1,23,"12-24 h",1.000,0,1
"3282779075534",397268,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 03:42:55",1,397797,"2026-01-03 03:37:56",1,23,"12-24 h",1.000,0,1
"3282779275699",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"3282779391023",397276,2,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",2.000,0,1
"3282779391580",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"3311000000974",397664,4,2712,Centro Historico,MEDICINAL,"2026-01-02 23:26:17",0,,,,,,,,1
"3311000003708",397232,3,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",1,398900,"2026-01-06 03:03:29",4,96,"48 h+",5.000,0,1
"3311000003708",397258,11,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 03:09:45",1,399517,"2026-01-07 02:28:38",5,119,"48 h+",3.000,0,1
"3337872420597",397617,1,1741,Sucursal Centro,MEDICINAL,"2026-01-02 22:27:13",0,,,,,,,,1
"3337875597296",397452,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 16:15:55",1,397619,"2026-01-02 22:31:49",0,6,"6-12 h",1.000,1,1
"3337875597296",397452,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 16:15:55",1,397619,"2026-01-02 22:31:49",0,6,"6-12 h",1.000,1,1
"3337875597296",397452,10,1673,Farmacia Zamora,NO MEDICINAL,"2026-01-02 16:15:55",1,397619,"2026-01-02 22:31:49",0,6,"6-12 h",1.000,1,1
"3337875663076",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3337875684095",397268,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 03:42:55",1,397797,"2026-01-03 03:37:56",1,23,"12-24 h",1.000,0,1
"3337875684095",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"3337875695176",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3337875791885",397276,3,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",3.000,0,1
"3337875845489",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"3337875894104",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3348901708937",397326,1,3021,Farmalife Pellegrini,MEDICINAL,"2026-01-02 13:45:45",0,,,,,,,,1
"3401346673335",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3401398303648",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3433422404403",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3433422404403",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"3499320012492",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3499320012843",397250,1,2119,Farmacia Nueva San Juan Ensueños,MEDICINAL,"2026-01-02 03:03:04",0,,,,,,,,1
"3499320013925",397266,1,2840,Don Doctor,MEDICINAL,"2026-01-02 03:34:24",1,397783,"2026-01-03 03:24:16",1,23,"12-24 h",1.000,1,1
"3499320013994",397368,1,470,Farmacia Cuyo,MEDICINAL,"2026-01-02 14:40:52",1,398366,"2026-01-05 14:08:58",3,71,"48 h+",1.000,0,1
"3499320014267",397565,1,504,Lavalle,MEDICINAL,"2026-01-02 20:30:02",0,,,,,,,,1
"3540550009469",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3574661309743",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3594450170064",397626,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 22:39:25",1,401267,"2026-01-09 23:29:11",7,168,"48 h+",5.000,1,1
"3594450170064",397626,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 22:39:25",1,401267,"2026-01-09 23:29:11",7,168,"48 h+",5.000,1,1
"3594450170064",397626,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 22:39:25",1,401267,"2026-01-09 23:29:11",7,168,"48 h+",5.000,1,1
"3594450170064",397626,10,1673,Farmacia Zamora,MEDICINAL,"2026-01-02 22:39:25",1,401267,"2026-01-09 23:29:11",7,168,"48 h+",5.000,1,1
"3594452600958",397245,21,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",21.000,0,1
"3600521961216",397605,2,2603,Farmacia Dulac,MEDICINAL,"2026-01-02 22:07:19",0,,,,,,,,1
"3600523989904",397184,1,710,Osvaldini,MEDICINAL,"2026-01-01 22:34:49",0,,,,,,,,1
"3600523989904",397605,2,2603,Farmacia Dulac,MEDICINAL,"2026-01-02 22:07:19",0,,,,,,,,1
"3600524150570",397302,1,2605,Farmacia Feresin,MEDICINAL,"2026-01-02 11:53:04",0,,,,,,,,1
"3600531429911",397674,1,1626,Farmacia del siglo S.A,MEDICINAL,"2026-01-02 23:35:18",0,,,,,,,,1
"3600542641074",397230,2,1113,Farmacia Obregon,MEDICINAL,"2026-01-02 02:18:50",1,398960,"2026-01-06 06:03:59",4,99,"48 h+",2.000,0,1
"3600542641074",397266,4,2840,Don Doctor,MEDICINAL,"2026-01-02 03:34:24",1,397783,"2026-01-03 03:24:16",1,23,"12-24 h",4.000,1,1
"3600542641074",397276,3,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",4.000,0,1
"3607344574654",397321,1,1766,Farmacia Cristal,MEDICINAL,"2026-01-02 13:35:44",0,,,,,,,,1
"3614225108846",397211,1,2678,F. El número uno ventura Puente,MEDICINAL,"2026-01-02 01:18:31",1,397757,"2026-01-03 02:39:41",1,25,"24-48 h",1.000,0,1
"3614225108860",397211,1,2678,F. El número uno ventura Puente,MEDICINAL,"2026-01-02 01:18:31",1,397757,"2026-01-03 02:39:41",1,25,"24-48 h",1.000,0,1
"3614225108877",397211,1,2678,F. El número uno ventura Puente,MEDICINAL,"2026-01-02 01:18:31",1,397757,"2026-01-03 02:39:41",1,25,"24-48 h",1.000,0,1
"3614225109041",397211,1,2678,F. El número uno ventura Puente,MEDICINAL,"2026-01-02 01:18:31",1,397757,"2026-01-03 02:39:41",1,25,"24-48 h",1.000,0,1
"3614226011152",397247,1,2679,F. El Número Uno Lomas de Durazno,MEDICINAL,"2026-01-02 02:58:04",1,397824,"2026-01-03 04:14:14",1,25,"24-48 h",1.000,0,1
"3614228347662",397601,1,1877,Garcia,MEDICINAL,"2026-01-02 22:02:19",1,398067,"2026-01-04 13:36:56",2,39,"24-48 h",1.000,0,1
"3614273069557",397326,1,3021,Farmalife Pellegrini,MEDICINAL,"2026-01-02 13:45:45",0,,,,,,,,1
"3616303004279",397295,2,2128,Farmalife 2 Corrientes,MEDICINAL,"2026-01-02 11:32:24",0,,,,,,,,1
"3616305141804",397609,1,504,Lavalle,MEDICINAL,"2026-01-02 22:10:39",1,399312,"2026-01-06 21:26:34",4,95,"48 h+",1.000,0,1
"3616305502490",397594,1,624,Farmacia del Valle,MEDICINAL,"2026-01-02 21:50:36",1,398079,"2026-01-04 15:52:36",2,42,"24-48 h",1.000,1,1
"3616305515902",397609,2,504,Lavalle,MEDICINAL,"2026-01-02 22:10:39",0,,,,,,,,1
"3661434003394",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3661434006500",397245,2,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",2.000,0,1
"3661434023484",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3662042003240",397245,3,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",3.000,0,1
"3662042003240",397270,4,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",4.000,1,1
"3662042003240",397276,3,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",3.000,0,1
"3662042003240",397282,1,2076,F. Nueva San Juan Tultepec 2,MEDICINAL,"2026-01-02 05:21:09",0,,,,,,,,1
"3664798040203",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3664798042313",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3664798044959",397205,1,2087,Suc. De la Fuente,MEDICINAL,"2026-01-02 00:41:29",1,400799,"2026-01-09 04:01:42",7,171,"48 h+",1.000,0,1
"3664798044959",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"3664798054361",397564,2,104,Mundial Medicamentos,MEDICINAL,"2026-01-02 20:25:56",1,399252,"2026-01-06 19:46:02",4,95,"48 h+",2.000,0,1
"3664798054859",397209,1,2515,Coacalco,MEDICINAL,"2026-01-02 01:05:28",0,,,,,,,,1
"3664798054859",397551,1,1749,Sucursal Periferico,MEDICINAL,"2026-01-02 19:53:12",0,,,,,,,,1
"3664798054866",397270,2,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",2.000,1,1
"3664798056037",397504,1,477,Dr. Elustondo,MEDICINAL,"2026-01-02 18:21:49",0,,,,,,,,1
"3664798059038",397420,1,812,Roca,MEDICINAL,"2026-01-02 15:25:53",0,,,,,,,,1
"3664798065237",397504,2,477,Dr. Elustondo,MEDICINAL,"2026-01-02 18:21:49",0,,,,,,,,1
"3664898114231",397270,1,1616,Farmacia Nueva San Juan Santa María,MEDICINAL,"2026-01-02 03:45:21",1,397802,"2026-01-03 03:43:08",1,23,"12-24 h",1.000,1,1
"37000808220",397558,1,2734,Farmacia Demaria,MEDICINAL,"2026-01-02 20:08:23",0,,,,,,,,1
"37000808312",397594,1,624,Farmacia del Valle,MEDICINAL,"2026-01-02 21:50:36",1,398079,"2026-01-04 15:52:36",2,42,"24-48 h",1.000,1,1
"37000809050",397594,1,624,Farmacia del Valle,MEDICINAL,"2026-01-02 21:50:36",1,398079,"2026-01-04 15:52:36",2,42,"24-48 h",1.000,1,1
"3700281702286",397245,2,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",2.000,0,1
"3701129800546",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,1,1
"3701129800843",397191,1,2770,F. La Esperanza Matriz,MEDICINAL,"2026-01-01 23:21:47",1,397201,"2026-01-02 00:26:54",1,1,< 6 h,1.000,0,1
"3701129800843",397201,1,2770,F. La Esperanza Matriz,MEDICINAL,"2026-01-02 00:26:54",0,,,,,,,,2
"3701129804391",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3701129809921",397276,1,1601,Farmacia Nueva San Juan,MEDICINAL,"2026-01-02 04:12:40",1,397815,"2026-01-03 03:57:54",1,23,"12-24 h",1.000,0,1
"37501565600802",397196,1,2090,F. San José Matriz,MEDICINAL,"2026-01-02 00:13:04",0,,,,,,,,1
"3760095251929",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"3760192240383",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"37836012334",397211,1,2678,F. El número uno ventura Puente,MEDICINAL,"2026-01-02 01:18:31",1,397757,"2026-01-03 02:39:41",1,25,"24-48 h",1.000,0,1
"37836012334",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"37836012334",397278,1,2138,Farmacia 01 Banco,MEDICINAL,"2026-01-02 04:43:08",1,397744,"2026-01-03 01:50:10",1,21,"12-24 h",1.000,0,1
"37836050282",397149,5,1311,Verdux Ciudad Lago,MEDICINAL,"2026-01-01 04:23:44",1,399577,"2026-01-07 04:52:07",6,144,"48 h+",5.000,1,1
"37836051241",397149,4,1311,Verdux Ciudad Lago,MEDICINAL,"2026-01-01 04:23:44",0,,,,,,,,1
